sample_id,trajectory_id,step_id,changed_parameter,sample_dir,started_at,finished_at,elapsed_seconds,slow_seconds,is_slow,status,returncode,stdout_path,stderr_path,error
1661,119,8,Rmax_LTIR,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001661,2026-04-30T00:39:11,2026-04-30T00:43:00,228.741,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001661\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001661\stderr.txt,
1662,119,9,PhyllFrmTassel,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001662,2026-04-30T00:39:14,2026-04-30T00:43:09,234.322,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001662\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001662\stderr.txt,
1663,119,10,Ks,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001663,2026-04-30T00:39:18,2026-04-30T00:43:58,279.585,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001663\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001663\stderr.txt,
1664,119,11,Diffx,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001664,2026-04-30T00:39:21,2026-04-30T00:43:50,268.964,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001664\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001664\stderr.txt,
1665,119,12,thetaS,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001665,2026-04-30T00:39:23,2026-04-30T00:42:38,194.635,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001665\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001665\stderr.txt,
1737,125,0,,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001737,2026-04-30T00:43:24,2026-04-30T00:47:32,247.858,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001737\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001737\stderr.txt,
1738,125,1,Diffz,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001738,2026-04-30T00:43:25,2026-04-30T00:47:41,256.016,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001738\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001738\stderr.txt,
1739,125,2,Rmax_LTIR,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001739,2026-04-30T00:43:26,2026-04-30T00:47:19,232.953,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001739\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_001739\stderr.txt,
2119,152,4,Rmax_LTIR,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_002119,2026-04-30T00:58:13,2026-04-30T01:00:20,127.189,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_002119\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_002119\stderr.txt,
2120,152,5,PhyllFrmTassel,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_002120,2026-04-30T00:58:17,2026-04-30T01:00:23,126.051,120,true,success,0,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_002120\stdout.txt,E:\Paper\智慧农业\二维作物模型\MAIZSIM\示例输入\ExcelInterface-master\Example input\SingleLayerLoam2D\sensitivity_runs\formal_r300_workers16_timeout300\samples\sample_002120\stderr.txt,
