sample_id,max_lai,final_shoot_dm,final_ear_dm,mean_top20_theta,seasonal_transpiration_deficit,seasonal_potential_transpiration,seasonal_actual_transpiration,matured,maturity_date
181,3.85,373.921,263.26,0.2374353514988448,0.009310957001185227,372.894,369.422,True,2007-09-27
182,3.85,373.921,263.26,0.23747334254487845,0.009248428034916434,373.577,370.122,True,2007-09-27
183,3.89,376.582,259.55,0.21858069405692404,0.011358112706179813,370.308,366.102,True,2007-09-28
184,3.88,375.055,258.07,0.22264210933029216,0.011322822513265218,368.636,364.462,True,2007-09-28
185,3.88,375.138,258.07,0.2226031128038583,0.011362588108894123,368.578,364.39,True,2007-09-28
186,3.84,380.007,276.81,0.22054692062060519,0.011784917232631642,373.698,369.294,True,2007-09-28
187,3.18,334.814,239.85,0.2273894338625653,0.01106707270417917,326.735,323.119,True,2007-09-23
188,3.18,334.773,239.75,0.22745773481364157,0.011060212630444433,326.576,322.964,True,2007-09-23
189,3.21,356.345,261.13,0.22489691561890865,0.011201420667987239,351.384,347.448,True,2007-09-29
190,3.21,352.596,257.15,0.1830171525918489,0.007276954633609223,357.842,355.238,True,2007-09-29
191,3.21,353.63,257.98,0.18809077168723382,0.008512504749346284,357.944,354.897,True,2007-09-29
192,3.21,354.102,258.43,0.18820240559181284,0.008201760514181977,357.85,354.915,True,2007-09-29
193,3.22,358.904,262.94,0.21774764103848424,0.007751444926854867,361.61,358.807,True,2007-09-29
194,4.13,385.72,255.85,0.21310084799815215,0.01098373849519163,387.664,383.406,True,2007-09-28
195,4.13,385.195,256.06,0.2104564771682855,0.011210311320170807,387.768,383.421,True,2007-09-28
196,4.13,385.037,256.3,0.2104896978739058,0.011229838917725221,387.628,383.275,True,2007-09-28
197,5.41,389.141,220.85,0.24737738969700213,0.01667814862045547,409.338,402.511,False,
198,4.58,382.138,223.96,0.25093051240699715,0.014765854280974877,391.85,386.064,False,
199,4.58,386.999,236.05,0.2509708956283425,0.012974967358171052,391.369,386.291,False,
200,4.53,387.947,237.38,0.25206707647822346,0.012705343771185262,387.947,383.018,True,2007-09-27
201,4.53,388.031,237.24,0.25201159511347687,0.01273468462200511,388.074,383.132,True,2007-09-27
202,4.53,387.074,236.42,0.2557071159979369,0.012890417254002862,387.342,382.349,True,2007-09-27
203,4.52,387.554,237.42,0.2593696655543584,0.014788117871213258,387.338,381.61,True,2007-09-28
